chr19	56140894
chr1	71081063
chr5	151271976
chr2	241489711
chr10	45672714
chr5	59359472
chr16	55453698
chr15	89894018
chr3	38024520
chr1	170074782
chr1	2194773
chr3	197649636
chr16	5033937
chr4	46390124
chr7	90389499
chr19	56550791
chr13	99340435
chr6	4135643
chr5	157859199
chr3	101826931
chr4	109802236
chr1	179877810
chr8	130443632
chrX	70420368
chr16	1964872
chr7	149624762
chr7	127253051
chr1	23825442
chr14	74736317
chr20	4894056
chr1	209791022
chr2	162537020
chr7	83649133
chr7	11832584
chr6	152472722
chr7	140398558
chr17	66192273
chr2	127319230
chr20	5190690
chr17	31161934
chr15	48178374
chr8	58659863
chr6	111690001
chr19	43546789
chr4	24912974
chr15	43684367
chr11	40294135
chr1	75220368
chr2	113627127
chr16	68448506
chr2	24971718
chr11	61817018
chr12	6970750
chr11	8594261
chr19	46040440
chr1	117879807
chr10	42638536
chr6	8435567
chr19	11197552
chr4	2756354
chr14	93788422
chr11	31431627
chr6	128520580
chr19	19033580
chr2	74440584
chr1	58523000
chr9	137427921
chr17	8248057
chr20	60650599
chr3	49929866
chr17	75131776
chrX	37900955
chr13	41954024
chr1	53889837
chr10	92333470
chr12	63668618
chr18	50393210
chr1	36820021
chr6	136550825
chr19	42424200
chr14	81533864
chr1	117929620
chr13	39038115
chr19	37749158
chr4	89111403
chr8	103325269
chr6	26127698
chr12	98604245
chr7	138941670
chr8	65729306
chr9	83988329
chr10	25027264
chr9	23821419
chr17	4545026
chr14	66688247
chr17	43906309
chr19	6502336
chr9	32764063
chr17	38853800
chr2	178435147
chr1	156295685
chr19	17557323
chr20	49278238
chr2	160493872
chr5	141651419
chr7	139777787
chr10	102512100
chr9	70869186
chr9	35079483
chr2	24972081
chr3	142578887
chr7	2242229
chr12	121847078
chr11_KI270721v1_random	7322
chr3	179071617
chr19	49929541
chr19	48461673
chr13	102120129
chr11	65662964
chr10	95656714
chr11	7757810
chr19	48343162
chr19	45090497
chr6	124963134
chr9	35753584
chr16	2705135
chr10	99368618
chr4	42545159
chr2	43925031
chr2	199982539
chr10	113907226
chr20	44311234
chr13	20902757
chr9	74477747
chr20	2509146
chr3	21751196
chr15	61229303
chr19	57916631
chr20	16573468
chr16	85092478
chr12	64448532
chr8	143990781
chr21	5128455
chr7	7641185
chr7	21208132
chr3	183956165
chr19	8304529
chr6	30213460
chr1	36057879
chr12	48852182
chr13	102792136
chr12	95073631
chr21	36043651
chr11	18322538
chr1	156728455
chr6	28354246
chr2	8837658
chr17	28950596
chr5	176630564
chr2	27635116
chr6	18180059
chr22	21952882
chr11	2377539
chr5	180861306
chr12	26924074
chr19	9818827
chrUn_GL000195v1	49119
chr21	36990587
chr1	202967287
chr14	70642208
chr8	141001394
chr3	40309538
chrX	123913437
chr10	13347197
chr2	237853915
chr3	94129872
chr2	112619574
chr11	87173149
chr6	79234764
chr16	58277152
chr12	78430866
chr7	117873612
chrX	30889298
chr16	1559928
chr2	213368814
chr12	127726160
chr6	89873788
chr20	63973640
chr21	5154711
chr16	30585695
chr2	70190983
chr9	108935839
chr11	89065961
chr18	77092161
chr13	69702207
chr2	165520864
chr5	71197664
chr17	37986100
chr1	65790298
chr14	101951796
chr6	79547384
chr1	228109348
chr14	67816594
chr13	23798855
chr9	41189413
chr10	100237299
chr15	88256834
chr17	81392889
chr7	66154307
chr17	64919482
chr5	92688238
chr4	3128144
chrX	48071451
chr17	64975590
chr4	133267
chr2	53860007
chr10	125024632
chr7	74879995
chr12	31241152
chr14	23010180
chr3	134374641
chr16	21284027
chr17	39153146
chr3	65369719
chr12	122527153
chr17	7627891
chr8	7355395
chr19	21637971
chr21	25734993
chr15	74873379
chr6	39115190
chr2	11344167
chr3	134250882
chr17	57988403
chr20	63215807
chr17	39688091
chr17	82136280
chr2	196927032
chr1	29230977
chr1	23284149
chr2	190206961
chr8	144780965
chr17	44111882
chr11	57649902
chr17	7307592
chr12	8949927
chr1	114588351
chr2	133267052
chr6	16760273
chr4	54064662
chr2	47906187
chr2	85602352
chr1	66948726
chr14	52552583
chr2	102736907
chr14	24141655
chr12	11092714
chr7	102689279
chr3	48635504
chr19	42424134
chr5	151758694
chr3	6877968
chr13	31443365
chr6	84163769
chr9	98119418
chr14	88626906
chr11	67443481
chr6	79550083
chr1	204230589
chr12	31729091
chr2	58166697
chr1	44355269
chr17	80427899
chr19	3811369
chr19	48110851
chrX	86047351
chr1	232031000
chr17	5382713
chr2	171434591
chr20	25853028
chr5	104457582
chr5	112419934
chr6	149546035
chr5	59039820
chr3	33440420
chr6	136281199
chr18	68715161
chr4	119502218
chr12	881909
chr4	72667327
chr15	40807480
chr20	14183094
chr10	46788392
chr9	111483759
chr2	88174634
chr10	112450017
chr2	197499897
chr11	85628328
chr4	42657188
chr13	113364127
chr11	61891624
