0	1
1	151909797
11	93197996
7	112781001
12	108526133
1	45340478
22	38894614
6	166956580
7	151361044
X	32412280
11	34916509
20	16573468
X	46861753
17	41786768
3	195619393
10	99431509
3	122564283
X	154412114
4	53542086
19	37507121
16	74666910
3	101320629
3	49724030
22	50085762
7	76269638
6	24706786
8	12440969
4	113762637
12	64390788
X	70289917
16	71884264
2	27495242
11	194001
22	17866204
1	169367893
10	102416359
16	67183989
1	50023984
22	17159317
3	47578256
10	54801519
11	130003028
14	21476987
17	9918818
12	49568151
5	82278416
12	4557006
1	52417998
16	82035345
2	112178110
13	114132656
2	69643736
6	109483294
14	56902570
8	94262368
11	115645079
5	123068931
5	135399319
9	25007
11	120185522
17	47067521
4	173048040
6	166342619
2	152176009
13	21670993
3	49689525
3	47892555
11	61362299
6	90297030
19	1479556
17	66888522
10	100330747
2	36598196
14	52951214
6	39115190
15	42273113
1	71215620
17	79953038
3	11719535
6	84163769
1	110372140
5	111512610
12	96399531
6	44127373
3	138834987
5	138213341
X	78132247
5	88825918
2	196927032
2	100417401
14	72960598
9	93064487
10	86973113
8	52217970
7	100101921
9	122579953
5	77492570
6	69797128
17	82212884
7	149028533
8	42933798
2	131093469
17	69142658
5	75580556
1	29364
11	75241209
19	21767632
7	100479446
10	132331829
5	97183281
22	49918384
1	42767053
8	103455334
20	5120021
19	3029209
17	7479035
15	25439015
7	150372751
2	232487856
1	175023557
1	16156122
6	62286202
1	145623682
10	1049409
7	77122337
11	45923431
17	76103797
9	97634020
19	4723846
12	47706071
1	150697212
1	168137633
10	87508129
6	111712555
5	140564659
2	233566778
19	54189339
5	137889334
15	52191527
6	28443508
6	36986234
X	129913310
15	49644312
4	13604453
17	49678203
5	132963659
X	103686897
18	35496059
3	150972625
5	80256047
15	64989948
12	78430866
8	70404578
2	236780286
19	2096324
2	86105892
17	6435176
17	40054430
19	6424826
4	48780405
1	30880838
3	48271075
20	25145290
1	236145702
19	53411573
12	107903767
10	109402780
17	5382713
7	124830962
17	51120902
12	50167361
13	52597295
1	240093294
19	57709218
20	5126701
4	87445130
17	59106887
X	15855011
9	2800108
12	22334829
6	130439348
1	10472576
18	32772119
5	176167997
11	16607821
2	70248749
20	25148772
19	40056237
9	136944633
16	15067163
19	13151706
8	22390730
5	149981929
X	100637431
4	88284831
2	46629970
15	35546227
12	39613782
3	144416101
7	102797438
1	68450178
6	2842038
20	45884987
1	36180377
10	87180126
10	109297379
17	49678217
10	25027286
17	82483167
8	129939821
12	53181755
3	71583744
2	79994832
2	159286722
1	154558308
3	42581956
1	93879217
14	47345953
19	57709249
6	24666991
X	119565456
1	16644735
21	36072205
1	161287250
6	24439181
22	48837856
8	22133372
2	201642710
2	229922061
7	714050
14	74260784
1	235128979
4	108763091
1	112715345
9	93068102
2	241759073
1	182685672
5	131201212
2	206765351
3	126623851
5	146878880
X	153686806
Y	13480006
2	136622454
19	38899623
20	10674081
4	163166927
20	46090030
3	119677388
6	125302119
17	28372544
17	69098625
7	38631453
1	64879507
9	129824250
2	86105913
10	102056219
1	230423469
19	45645616
12	10722902
14	35534024
21	30989118
19	21637971
3	40309533
14	25050148
17	48908701
1	230978854
1	16352463
3	119463749
8	66432395
9	109064859
9	135920036
11	31369821
3	127590759
10	102744092
14	50334396
3	197627933
5	175529163
16	69163571
3	168888008
7	92590417
5	177006813
13	40921826
2	165953843
3	47781924
5	150759040
8	90985222
3	53347552
9	108934326
9	137488682
X	52069205
17	81927456
19	52393326
15	65287003
X	134797246
19	35899776
8	143990758
9	137188585
17	16820358
1	201899343
1	34985346
2	42260015
7	88307008
18	11908346
X	84119202
6	166956609
22	50590726
9	111483695
17	59672948
X	19807724
4	16176843
14	94129691
16	4803116
19	10502826
17	75765196
7	155003962
5	151028897
8	141306099
1	276517
9	35080043
4	8428490
2	97664143
8	22232350
4	16174167
17	8481152
1	33278499
12	991082
7	127392735
1	86396343
17	61928024
6	136652570
1	161177503
11	67469282
X	135022470
9	33076691
6	149864403
12	102061995
3	138174965
3	157160218
6	99515456
12	64390795
15	33194791
2	240467618
8	130443632
2	39255832
13	113364160
6	149648804
2	231203907
4	185426013
16	88706437
3	142225645
5	40835241
2	197676106
4	17781667
3	124887666
2	213151675
11	119379173
14	56833276
10	31031852
11	47848382
15	36694613
6	89315331
1	203488138
3	52706080
22	40408774
1	113017249
19	52397813
12	43924839
11	113794181
1	93122058
X	110796212
11	39229116
7	87220578
16	4416599
15	45407062
13	94505619
11	74467637
13	87053172
X	86047573
19	38899781
3	101320580
1	117121778
18	55589850
2	174487118
1	45491166
9	32832464
11	125583196
16	53703867
11	49414383
6	43629170
3	126180611
1	100146527
7	93913228
19	52171683
4	163166917
2	113627131
1	19485596
2	199955536
14	56144947
5	87413060
9	105549137
9	70869166
4	155688773
12	78863522
4	39343122
18	9572964
7	148686092
7	102690992
22	22416214
2	210171402
10	95656704
14	50986194
1	221741952
7	44082508
10	24952867
11	3095113
1	26960471
3	18420183
1	9910387
3	62501721
19	50025425
11	103092178
3	132660431
3	111722219
6	52995380
17	48101521
17	54968768
15	51622783
6	73654014
11	113773756
9	127735316
1	198291694
5	180861295
5	30206807
11	88175523
3	50275177
6	161650267
11	92559410
9	20622522
17	19977830
7	150800353
11	77455069
10	99431930
13	108215840
17	150016
17	44690326
8	8892988
3	167691544
14	44961960
17	42423313
3	14178661
1	23292501
15	50354887
X	149938499
12	124328876
7	102754598
X	21444905
5	151758694
14	50532721
13	52012198
10	47553517
11	7974532
11	46594058
15	73992352
2	177222560
2	66532615
1	98711424
1	211830834
18	24443100
8	41767888
5	141619033
18	21633131
8	28386466
19	37655496
1	83999161
7	2242196
16	69740546
10	114404548
4	150850697
13	36131442
7	121383328
8	12444756
X	130903275
4	177442455
17	44503638
19	48063262
12	53676659
17	7929887
1	74342083
5	110745481
X	13661031
X	104064413
12	96035591
22	11868946
19	43596140
11	64166131
9	123929982
7	64401969
7	19773618
12	31324212
20	5113125
3	130930061
11	65662948
3	149752682
8	102412916
1	156153531
17	76259566
12	112249709
12	82358420
2	58057862
16	70065988
17	81393472
6	57222323
16	89233241
18	49813964
9	63859676
16	75434134
7	101233912
9	8858086
20	17659541
10	100010052
6	26635631
21	33641786
2	178435346
11	83071957
17	56961055
12	4538522
6	79539001
6	152472577
5	104551734
9	124771628
4	113761817
19	51905076
13	80340737
1	247922774
6	83708804
3	48685960
3	125520205
19	39319966
1	30880827
18	45880733
11	112164104
8	73294549
15	35546294
15	62684362
19	12629787
11	119093349
2	173965864
17	64506841
19	15379340
4	73223129
11	407180
2	96270468
4	20527849
16	4767234
12	53251043
X	38281441
1	154558700
1	248825941
17	36683485
13	94596164
14	58299159
5	71260844
20	34708709
15	72474865
12	122309982
20	63979511
19	29715278
16	708396
19	8264986
12	5088005
1	56655004
22_KI270734v1_random	136845
5	70142445
2	43596051
2	201698756
18	7117845
2	127526850
4	1721345
15	34318787
3	71583722
10	99430691
X	48468307
11	71448453
4	55547105
